         Dat/Zeit;  Wind;Rotor;Leistung;Azimut;   Prod. 1;   Prod. 2;BtrStd 1;BtrStd 2;Gen1-;Lager;Außen;GetrT; Status;Spann;Spann;Spann;Strom-;Strom-;Strom-;CosPh;    Abgabe;     Bezug;  KH-Zähl1;  KH-Zähl2;  KH-DigiE;  KH-DigiI;  KH-Ana-1;  KH-Ana-2;  KH-Ana-3;  KH-Ana-4
                 ;   m/s;  rpm;      kW;     °;       kWh;       kWh;       h;       h;   °C;   °C;   °C;   °C;       ;    V;    V;    V;     A;     A;     A;     ;       kWh;       kWh;       Imp;       Imp;       Bit;       Bit;          ;          ;          ;          
01.01.2016, 00:10;4,2;10;139,3;161,7;33270717;1712034;48925;45171;14,5;51;7;42;0;401,4;401,2;399,4;107,4;118,6;118,9;1,01;0;0;0;0;0;0;0;0;0;0
01.01.2016, 00:20;4,2;10;139,3;161,7;33270717;1712034;48925;45171;14,5;51;7;42;0;401,4;401,2;399,4;107,4;118,6;118,9;1,01;0;0;0;0;0;0;0;0;0;0
01.01.2016, 00:30;4,4;10;162,1;160,8;33270717;1712059;48925;45171;14;51,1;7;42;0;402,1;402,3;400,3;128,1;139,5;138,8;0,991;0;0;0;0;0;0;0;0;0;0
01.01.2016, 00:40;5,4;10;265,1;161,3;33270717;1712105;48925;45171;14,8;52,2;7;42;0;403,1;403;401,1;205,4;218,2;216;1,031;0;0;0;0;0;0;0;0;0;0
01.01.2016, 00:50;5,3;10;283,8;161,2;33270717;1712147;48925;45172;17;53;7;42;0;401,8;402;399,8;222,8;226,7;228,2;1,049;0;0;0;0;0;0;0;0;0;0
01.01.2016, 01:00;4,9;10;208,4;155,1;33270717;1712189;48925;45172;17,8;52,2;6;42;0;402,2;402,5;400,5;168,3;171;173,6;1,014;0;0;0;0;0;0;0;0;0;0
01.01.2016, 01:10;5,1;10;259,7;155,1;33270717;1712228;48925;45172;17;52,2;6;42;0;402,7;402,7;400,5;209;212;214,5;1,012;0;0;0;0;0;0;0;0;0;0
01.01.2016, 01:20;5,3;10;305,8;155,5;33270717;1712275;48925;45172;18,6;52,9;6;42;0;401,9;402;399,8;250,1;269;252,9;0,986;0;0;0;0;0;0;0;0;0;0
01.01.2016, 01:30;5,2;10;271,9;149,5;33270717;1712325;48925;45172;20;53,2;6;42;0;402,1;402,7;400,5;218,6;240,1;222,6;0,991;0;0;0;0;0;0;0;0;0;0
