         Dat/Zeit;  Wind;Rotor;Leistung;Azimut;   Prod. 1;   Prod. 2;BtrStd 1;BtrStd 2;Gen1-;Lager;Außen;GetrT; Status;Spann;Spann;Spann;Strom-;Strom-;Strom-;CosPh;    Abgabe;     Bezug;  KH-Zähl1;  KH-Zähl2;  KH-DigiE;  KH-DigiI;  KH-Ana-1;  KH-Ana-2;  KH-Ana-3;  KH-Ana-4
01.01.2016, 01:40;5,7;10,8;348,8;147,8;33270721;1712371;48925;45172;20,4;53,7;6;42;0;402,1;402,3;400,3;282;301,3;283,2;1,005;0;0;0;0;0;0;0;0;0;0
01.01.2016, 01:50;5,6;15,4;301,5;148,7;33270774;1712371;48926;45172;21,4;55,7;6;43,1;0;401,8;402,1;399,7;264,8;282;268,4;0,926;0;0;0;0;0;0;0;0;0;0
01.01.2016, 02:00;6,2;16;372,6;156,8;33270832;1712371;48926;45172;21,1;58;6;43,9;0;401,4;401,8;400;306,7;323,9;311;0,988;0;0;0;0;0;0;0;0;0;0
01.01.2016, 02:10;5,4;16;225,3;155,4;33270879;1712371;48926;45172;21,1;58;6;45;0;401,5;402;399,9;175,3;191,9;179,9;1,052;0;0;0;0;0;0;0;0;0;0
01.01.2016, 02:20;4,7;16;179,7;152,6;33270905;1712371;48926;45172;21;57,1;5,4;45;0;401,3;401,6;399,5;151,1;166,8;154,8;0,956;0;0;0;0;0;0;0;0;0;0
01.01.2016, 02:30;5;16;129,6;155,4;33270928;1712371;48926;45172;21;56,2;5;45;0;399,5;399,8;397,8;122,8;138,1;125,8;0,834;0;0;0;0;0;0;0;0;0;0
01.01.2016, 02:40;4,9;16;129,6;158;33270949;1712371;48926;45172;20,6;56;5;45;0;400;400,1;398,1;112,4;127,6;115,2;0,903;0;0;0;0;0;0;0;0;0;0
01.01.2016, 02:50;5,5;16;195,5;160,5;33270982;1712371;48927;45172;20;57;5,4;45;0;400;400,4;398,5;166,5;182;169,8;0,938;0;0;0;0;0;0;0;0;0;0
01.01.2016, 03:00;5,3;16;242;162,3;33271022;1712371;48927;45172;20,1;57,5;6;45,8;0;400;400,2;398,5;187;201,9;189,9;1,048;0;0;0;0;0;0;0;0;0;0
01.01.2016, 03:10;5,6;16;279,2;163,2;33271065;1712371;48927;45172;20,7;58,4;6;45,9;0;400,5;400,7;398,7;230;246;233,6;0,984;0;0;0;0;0;0;0;0;0;0
01.01.2016, 03:20;6,2;16;347,7;163,5;33271127;1712371;48927;45172;21;60,1;6;46;0;400,5;400,8;398,7;284,9;300,7;287,7;1;0;0;0;0;0;0;0;0;0;0
01.01.2016, 03:30;5,9;9,4;196,9;163,5;33271161;1712371;48927;45172;21;59;6;46,9;0;400,1;400,4;398;167,5;176,5;169,4;0,632;0;0;0;0;0;0;0;0;0;0
01.01.2016, 03:40;6,4;11,6;196,6;163,6;33271195;1712371;48927;45172;20,2;54,4;6;45,5;0;400,2;400,2;398,1;164,5;173,7;165,9;0,607;0;0;0;0;0;0;0;0;0;0
01.01.2016, 03:50;6,2;15,5;346,5;163,6;33271246;1712371;48927;45172;20,9;58,7;6;45,9;0;399,8;400,3;398,1;294,2;309,6;296,8;0,926;0;0;0;0;0;0;0;0;0;0
01.01.2016, 04:00;6,4;16;408,5;163,6;33271318;1712371;48928;45172;21,2;60,8;6;46,7;0;400,5;400,8;398,7;330,9;346,8;333,4;1,012;0;0;0;0;0;0;0;0;0;0
01.01.2016, 04:10;7;16;499,6;163,5;33271393;1712371;48928;45172;22;62,6;6;47,1;0;400,8;401;399,1;422,6;437,9;423,1;0,973;0;0;0;0;0;0;0;0;0;0
01.01.2016, 04:20;6,8;16;519,7;163,5;33271487;1712371;48928;45172;22,4;63,2;6;48;0;400,8;401;399,2;454,2;468,4;452,5;0,938;0;0;0;0;0;0;0;0;0;0
01.01.2016, 04:30;7,4;16;622,9;163,4;33271582;1712371;48928;45172;23,4;64,3;6;48,3;0;400,8;401;399,1;540,3;554,5;538;0,957;0;0;0;0;0;0;0;0;0;0
01.01.2016, 04:40;7,6;16;678,6;163,4;33271702;1712371;48928;45172;24,2;65,1;6;49;0;401;401,8;400;572,9;587,2;570,3;0,977;0;0;0;0;0;0;0;0;0;0
01.01.2016, 04:50;7,4;16;699,8;163,4;33271825;1712371;48928;45172;25;66;6;50;0;401,2;401,5;399,8;589,7;603,4;586,5;0,981;0;0;0;0;0;0;0;0;0;0
01.01.2016, 05:00;6,9;16;593,2;163,4;33271914;1712371;48929;45172;25;66;6;50;0;401;400,8;399,3;493,7;505,9;490,7;0,994;0;0;0;0;0;0;0;0;0;0
01.01.2016, 05:10;6,7;16;517,5;163,5;33272003;1712371;48929;45172;24,5;64;6;49,8;0;401;401,1;399,5;434,9;446,2;431,9;0,983;0;0;0;0;0;0;0;0;0;0
01.01.2016, 05:20;6,4;16;492,3;167,9;33272092;1712371;48929;45172;24;62,5;6;48,4;0;400,8;401;399,4;414,8;425,5;411,4;0,981;0;0;0;0;0;0;0;0;0;0
01.01.2016, 05:30;6,4;16;453,9;167,9;33272161;1712371;48929;45172;23,1;61,1;6;47,2;0;400,8;400,8;399;381,4;391,4;377,9;0,984;0;0;0;0;0;0;0;0;0;0
01.01.2016, 05:40;6,3;16;408,4;167,8;33272237;1712371;48929;45172;23;60,4;6;46,4;0;400,7;400,8;399,4;340,8;349,9;337,3;0,994;0;0;0;0;0;0;0;0;0;0
01.01.2016, 05:50;6;16;349,7;170,2;33272288;1712371;48929;45172;22,6;59,1;6;45,6;0;401;401,7;399,9;287,8;297,3;285,3;1,001;0;0;0;0;0;0;0;0;0;0
01.01.2016, 06:00;5;16;184,6;172,8;33272324;1712371;48930;45172;22;57;6;44,8;0;400,5;400,7;399,4;156,7;164;153,4;0,971;0;0;0;0;0;0;0;0;0;0
01.01.2016, 06:10;5,1;16;191,9;175;33272353;1712371;48930;45172;21,1;57;6;44,6;0;399,8;400,1;398,5;162,6;169,6;159,1;0,974;0;0;0;0;0;0;0;0;0;0
01.01.2016, 06:20;5,2;16;148,6;178,6;33272380;1712371;48930;45172;21;57;6;45,4;0;399,1;399,4;398;129,7;135,3;125,4;0,953;0;0;0;0;0;0;0;0;0;0
01.01.2016, 06:30;5,2;16;133,7;178;33272399;1712371;48930;45172;21;57;6;45,9;0;399,1;399,9;398;118;124;114,2;0,938;0;0;0;0;0;0;0;0;0;0
01.01.2016, 06:40;5,1;16;120,5;179,2;33272421;1712371;48930;45172;21;56,4;6;46;0;399,5;399,5;398,1;110;115,5;105,8;0,91;0;0;0;0;0;0;0;0;0;0
01.01.2016, 06:50;5,1;16;118,3;179,2;33272439;1712371;48930;45172;21;56,3;6;46;0;399,1;399,5;398;117,2;122,5;113,2;0,79;0;0;0;0;0;0;0;0;0;0
01.01.2016, 07:00;5,7;16;231,8;179,2;33272458;1712371;48930;45172;21;57,6;6;46;0;399,6;399,3;398,3;203,8;208,9;199,8;0,919;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 07:10;5,7;16;231,8;179,2;33272458;1712371;48930;45172;21;57,6;6;46;0;399,6;399,3;398,3;203,8;208,9;199,8;0,919;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 07:20;5,7;16;231,8;179,2;33272458;1712371;48930;45172;21;57,6;6;46;0;399,6;399,3;398,3;203,8;208,9;199,8;0,919;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 07:30;5,7;16;231,8;179,2;33272458;1712371;48930;45172;21;57,6;6;46;0;399,6;399,3;398,3;203,8;208,9;199,8;0,919;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 07:40;5,7;16;231,8;179,2;33272458;1712371;48930;45172;21;57,6;6;46;0;399,6;399,3;398,3;203,8;208,9;199,8;0,919;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 07:50;5,7;16;231,8;179,2;33272458;1712371;48930;45172;21;57,6;6;46;0;399,6;399,3;398,3;203,8;208,9;199,8;0,919;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 08:00;5,4;16;220,3;181,4;33272464;1712371;48931;45172;21;57,6;6;46,2;0;399,5;399,3;398,2;192,7;197,5;188,9;0,931;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 08:10;4,6;16;174,6;190,4;33272595;1712371;48931;45172;21;58;6;47;0;399,4;399,4;397,9;148,7;152,2;145,7;0,979;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 08:20;4,6;16;174,6;190,4;33272595;1712371;48931;45172;21;58;6;47;0;399,4;399,4;397,9;148,7;152,2;145,7;0,979;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 08:30;4,6;16;174,6;190,4;33272595;1712371;48931;45172;21;58;6;47;0;399,4;399,4;397,9;148,7;152,2;145,7;0,979;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 08:40;4,6;16;174,6;190,4;33272595;1712371;48931;45172;21;58;6;47;0;399,4;399,4;397,9;148,7;152,2;145,7;0,979;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 08:50;4,5;14,2;166,6;193,3;33272604;1712542;48931;45173;19,2;56,2;6;46,1;0;399,4;399,4;397,9;144,2;141,4;140,8;0,98;0;0;0;0;0;0;0;0;0;0
01.01.2016, 09:00;4,1;10;131,4;196,4;33272604;1712564;48931;45174;14,6;52;6;43,6;0;399,9;399,7;398;115,8;98,4;111,2;1,016;0;0;0;0;0;0;0;0;0;0
01.01.2016, 09:10;4,4;10;152;201,1;33272604;1712586;48931;45174;14;51,8;6;43;0;400;399,9;398;133,6;116,5;129,8;1,006;0;0;0;0;0;0;0;0;0;0
01.01.2016, 09:20;4,6;10;165,9;201,8;33272604;1712616;48931;45174;14;51,6;6;43;0;400;400;398,1;146,1;129,1;142,5;0,996;0;0;0;0;0;0;0;0;0;0
01.01.2016, 09:30;4,1;10;127,8;201,8;33272604;1712636;48931;45174;14;51;6;43;0;400;400;397,8;118,3;100,9;114,4;0,966;0;0;0;0;0;0;0;0;0;0
01.01.2016, 09:40;4;10;108,3;203,6;33272604;1712652;48931;45174;13,4;50,3;6;42,3;0;399,5;400;397,9;96,8;79,5;92,6;1,021;0;0;0;0;0;0;0;0;0;0
01.01.2016, 09:50;4,1;10;119,5;206,6;33272604;1712671;48931;45174;13;50;6;42;0;399,7;400;398,2;106,7;88,7;102;1,013;0;0;0;0;0;0;0;0;0;0
01.01.2016, 10:00;4,3;10;138,2;208,8;33272604;1712696;48931;45175;13;50;6;42;0;399,5;399,4;397,7;123,5;107,1;120,2;0,992;0;0;0;0;0;0;0;0;0;0
01.01.2016, 10:10;4,2;10;118,8;209,8;33272604;1712715;48931;45175;13;50;6;42;0;399;399,1;397;107,3;90,9;103,6;0,998;0;0;0;0;0;0;0;0;0;0
01.01.2016, 10:20;3,9;10;79,2;202,8;33272604;1712728;48931;45175;12,1;49;6;41;0;398,8;398,8;397;72,4;55,2;67,2;1,038;0;0;0;0;0;0;0;0;0;0
01.01.2016, 10:30;4;10;105,1;201,3;33272604;1712747;48931;45175;12;49;7;41;0;399,1;399;397;94,9;77,4;90,4;1,012;0;0;0;0;0;0;0;0;0;0
01.01.2016, 10:40;4;10;109,9;194,6;33272604;1712763;48931;45175;12;49;7;41;0;399;399;396,8;98,8;81,3;94,7;1,012;0;0;0;0;0;0;0;0;0;0
01.01.2016, 10:50;3,4;10;62,1;188,9;33272604;1712774;48931;45175;12;47,8;7;40,4;0;398,2;398,5;396,1;58,2;41,6;52,8;1,041;0;0;0;0;0;0;0;0;0;0
01.01.2016, 11:00;2,9;10;28,4;192;33272604;1712775;48931;45175;12;46,1;7;40;0;398;397,7;396;32,3;17,3;25,2;0,914;155;0;0;0;0;0;0;0;0;0
01.01.2016, 11:10;2,9;10;24,7;192,4;33272604;1712777;48931;45175;12;46;7;40;0;398;397,7;396;29,5;14,6;22,2;0,9;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 11:20;2,9;10;24,7;192,4;33272604;1712777;48931;45175;12;46;7;40;0;398;397,7;396;29,5;14,6;22,2;0,9;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 11:30;2,9;10;24,7;192,4;33272604;1712777;48931;45175;12;46;7;40;0;398;397,7;396;29,5;14,6;22,2;0,9;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 11:40;2,9;10;24,7;192,4;33272604;1712777;48931;45175;12;46;7;40;0;398;397,7;396;29,5;14,6;22,2;0,9;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 11:50;2,9;10;24,7;192,4;33272604;1712777;48931;45175;12;46;7;40;0;398;397,7;396;29,5;14,6;22,2;0,9;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 12:00;2,9;10;24,7;192,4;33272604;1712777;48931;45175;12;46;7;40;0;398;397,7;396;29,5;14,6;22,2;0,9;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 12:10;2,2;9,8;0,5;229,9;33272604;1712794;48931;45176;9,5;47,7;7;43;0;396,8;397,2;395,2;11,2;12,2;12,7;0,058;0;0;0;0;0;0;0;0;0;0
01.01.2016, 12:20;1,7;7,8;-1,1;230,5;33272604;1712794;48931;45176;9;47,7;7,7;43;0;396,9;397,1;395,1;4,7;5,6;6,4;0,073;0;0;0;0;0;0;0;0;0;0
01.01.2016, 12:30;2,2;9,4;0,2;229,4;33272604;1712794;48931;45176;8,4;48;8;43;0;396,7;397;395,2;1,8;1,7;1,5;0,138;0;0;0;0;0;0;0;0;0;0
01.01.2016, 12:40;2,3;10,5;0,1;230,2;33272604;1712794;48931;45176;8;48;8;43,2;0;397;397,2;394,9;1,8;1,6;1,3;0,098;0;0;0;0;0;0;0;0;0;0
01.01.2016, 12:50;2,1;9,4;0;238,1;33272604;1712794;48931;45176;8;48;8;43,9;0;396,8;396,9;395,3;1,9;1,6;1,3;0,025;0;0;0;0;0;0;0;0;0;0
01.01.2016, 13:00;2,1;9,4;0,2;241,6;33272604;1712794;48931;45176;7,5;48;8;44;0;397,2;397,8;395,8;1,7;1,7;1,1;0,148;0;0;0;0;0;0;0;0;0;0
01.01.2016, 13:10;2,2;9;0;228,7;33272604;1712794;48931;45176;7;48;8;44;0;397,5;397,9;395,6;1,5;1,6;1,1;0,068;0;0;0;0;0;0;0;0;0;0
01.01.2016, 13:20;2;9,2;0;221,9;33272604;1712794;48931;45176;7;48,2;8;44,1;0;397,5;397,8;395,4;1,4;1,7;1,2;0,064;0;0;0;0;0;0;0;0;0;0
01.01.2016, 13:30;2,4;10;-0,5;230,1;33272604;1712794;48931;45177;7,2;48,9;8;44,9;0;397,3;397,4;395,3;14,9;13,6;25,2;0,038;0;0;0;0;0;0;0;0;0;0
01.01.2016, 13:40;2,5;10;7,1;232,5;33272604;1712794;48931;45177;8,2;49;8;45;0;398;398;395,7;26,8;14,6;23,7;0,304;0;0;0;0;0;0;0;0;0;0
01.01.2016, 13:50;2,2;9,2;-1,6;235,8;33272604;1712794;48931;45177;9;49;8;45;0;397,8;397,9;396,1;8,9;11,6;9,2;0,038;0;0;0;0;0;0;0;0;0;0
01.01.2016, 14:00;1,3;6,3;0;238;33272604;1712794;48931;45177;8,5;48,2;8,6;45;0;397,1;397,9;395,8;2,5;2,5;2;0,089;0;0;0;0;0;0;0;0;0;0
01.01.2016, 14:10;1,3;4,9;0,1;238,3;33272604;1712794;48931;45177;8;47,1;8,9;44,6;0;397,2;397,6;395,6;1,3;1,9;1;0,115;0;0;0;0;0;0;0;0;0;0
01.01.2016, 14:20;1,6;5,9;0,1;238,3;33272604;1712794;48931;45177;8;47;9;44;0;397,2;397,5;396;1,4;1,5;1,1;0,124;0;0;0;0;0;0;0;0;0;0
01.01.2016, 14:30;1,4;4,1;0,1;238,3;33272604;1712794;48931;45177;8;46,1;9;44;0;397,3;397,7;395,6;1,3;1,1;0,8;0,177;0;0;0;0;0;0;0;0;0;0
01.01.2016, 14:40;1,9;5,8;0,1;238,3;33272604;1712794;48931;45177;8;46;9;44;0;397,5;398;396;1,5;1,2;1,1;0,079;0;0;0;0;0;0;0;0;0;0
01.01.2016, 14:50;1,6;5;0,1;238,3;33272604;1712794;48931;45177;7,1;46;9;44;0;397,4;397,8;396;1,7;1,5;1;0,081;0;0;0;0;0;0;0;0;0;0
01.01.2016, 15:00;0,9;2,8;0,2;238,3;33272604;1712794;48931;45177;7;44,3;9;43,7;0;397;397;395,3;1,2;1,4;1;0,179;0;0;0;0;0;0;0;0;0;0
01.01.2016, 15:10;0,5;1,5;0,1;238,3;33272604;1712794;48931;45177;7;43,1;9,5;42,8;0;397,1;397,6;395,6;1,1;1,4;1,2;0,097;0;0;0;0;0;0;0;0;0;0
01.01.2016, 15:20;0,5;1,9;0;238,3;33272604;1712794;48931;45177;7;42,3;9,9;42;0;397,1;397,3;395,6;1,4;1,5;1,1;0,051;0;0;0;0;0;0;0;0;0;0
01.01.2016, 15:30;0,5;3;0,1;238,3;33272604;1712794;48931;45177;7;42,5;10;42;0;397;397,1;395;1,6;1,1;1;0,103;0;0;0;0;0;0;0;0;0;0
01.01.2016, 15:40;0,8;2,7;0,1;234,7;33272604;1712794;48931;45177;7;42,5;10;42,2;0;397;397;395;1,2;1,3;1;0,161;0;0;0;0;0;0;0;0;0;0
01.01.2016, 15:50;0,6;2,7;0,2;225,6;33272604;1712794;48931;45177;7;42;10;42;0;396,8;397;395;1,4;1,5;0,8;0,212;0;0;0;0;0;0;0;0;0;0
01.01.2016, 16:00;0,7;2,3;0,2;225,6;33272604;1712794;48931;45177;7;41,8;10;41,4;0;396,3;397;394,8;1,5;1,4;0,9;0,157;0;0;0;0;0;0;0;0;0;0
01.01.2016, 16:10;1,1;2,1;0,2;225,6;33272604;1712794;48931;45177;7;41;10;41;0;395,8;396,1;394,4;1,5;1,5;1;0,17;0;0;0;0;0;0;0;0;0;0
01.01.2016, 16:20;1;3;0;221,2;33272604;1712794;48931;45177;7;41;10;41;0;395,1;395,8;393,8;1,5;1,3;1;0,074;0;0;0;0;0;0;0;0;0;0
01.01.2016, 16:30;1,7;8,8;0,2;154,4;33272605;1712794;48931;45177;7;44,7;8;41,5;0;393,4;393,5;392,3;1,8;1,1;1,2;0,167;0;0;0;0;0;0;0;0;0;0
01.01.2016, 16:40;1,7;8,8;0,2;154,4;33272605;1712794;48931;45177;7;44,7;8;41,5;0;393,4;393,5;392,3;1,8;1,1;1,2;0,167;0;0;0;0;0;0;0;0;0;0
01.01.2016, 16:50;2,2;11,3;0;150,4;33272605;1712794;48931;45177;7;46,7;7,1;42,6;0;393;393,1;392;1,6;1,3;1,1;0,027;146;0;0;0;0;0;0;0;0;0
01.01.2016, 17:00;2,3;11,6;0;150;33272605;1712794;48931;45177;7;47;7;42,8;0;393;393,1;392;1,6;1,4;1,1;0,012;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 17:10;2,3;11,6;0;150;33272605;1712794;48931;45177;7;47;7;42,8;0;393;393,1;392;1,6;1,4;1,1;0,012;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 17:20;2,3;11,6;0;150;33272605;1712794;48931;45177;7;47;7;42,8;0;393;393,1;392;1,6;1,4;1,1;0,012;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 17:30;2,3;11,6;0;150;33272605;1712794;48931;45177;7;47;7;42,8;0;393;393,1;392;1,6;1,4;1,1;0,012;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 17:40;2,3;11,6;0;150;33272605;1712794;48931;45177;7;47;7;42,8;0;393;393,1;392;1,6;1,4;1,1;0,012;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 17:50;2,3;11,6;0;150;33272605;1712794;48931;45177;7;47;7;42,8;0;393;393,1;392;1,6;1,4;1,1;0,012;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 18:00;2;7,9;0,1;160,6;33272605;1712794;48931;45177;6,4;45,8;7,6;42,9;0;392,4;392,7;391,2;1,5;1,6;1,2;0,097;0;0;0;0;0;0;0;0;0;0
01.01.2016, 18:10;1,2;3,7;0,1;167,8;33272605;1712794;48931;45177;6;44,3;8;42,5;0;392,5;393;390,9;1,7;1,8;1;0,098;0;0;0;0;0;0;0;0;0;0
01.01.2016, 18:20;1,1;3,4;0;167,8;33272605;1712794;48931;45177;6;43,2;8;42;0;392,4;392,8;391;1,4;1,7;1,4;0,036;0;0;0;0;0;0;0;0;0;0
01.01.2016, 18:30;0,8;2,6;0;167,8;33272605;1712794;48931;45177;6;42,3;8;41,6;0;392,2;392,6;390,8;1,7;1,6;1,3;0,086;0;0;0;0;0;0;0;0;0;0
01.01.2016, 18:40;0,8;2;0,1;167,8;33272605;1712794;48931;45177;6;41,2;8;41;0;392,2;393;391;1,7;1,8;1,3;0,095;0;0;0;0;0;0;0;0;0;0
01.01.2016, 18:50;0,5;1;0,1;167,8;33272605;1712794;48931;45177;6;40,4;8,5;41;0;392,8;393,1;391,4;1,8;1,8;1,1;0,117;0;0;0;0;0;0;0;0;0;0
01.01.2016, 19:00;0,5;1,2;0,1;167,8;33272605;1712794;48931;45177;6;40;8,9;40,3;0;392,9;393;391,9;1,4;1,8;1,2;0,079;0;0;0;0;0;0;0;0;0;0
01.01.2016, 19:10;0,7;1,1;0,1;167,8;33272605;1712794;48931;45177;6;39,4;9;40,5;0;393;393,2;391,7;1,4;1,7;1;0,108;0;0;0;0;0;0;0;0;0;0
01.01.2016, 19:20;0,5;2,1;0,1;167,8;33272605;1712794;48931;45177;6;39,3;9;40;0;393;393,5;391,9;1,4;1,5;1;0,101;0;0;0;0;0;0;0;0;0;0
01.01.2016, 19:30;0,6;3;0,2;167,9;33272605;1712794;48931;45177;6;40;10;40;0;393,3;393,3;391,8;2;1,7;1,3;0,129;0;0;0;0;0;0;0;0;0;0
01.01.2016, 19:40;0,5;5;0;167,9;33272605;1712794;48931;45177;6;40,7;9,7;40;0;393,1;393,4;391,8;1,5;1,4;1,1;0,027;0;0;0;0;0;0;0;0;0;0
01.01.2016, 19:50;2,2;8;4,9;143,8;33272605;1712794;48931;45177;6;43,1;8,7;40;0;393,1;393,5;391,6;11,2;12,1;10,5;0,097;0;0;0;0;0;0;0;0;0;0
01.01.2016, 20:00;2,4;10;5,6;117,5;33272605;1712796;48931;45177;7,2;45,4;7,2;40,7;0;392,8;393,4;392;20,5;20,2;25,7;0,168;0;0;0;0;0;0;0;0;0;0
01.01.2016, 20:10;1,9;8,6;0,7;115,7;33272605;1712796;48931;45177;7,9;45;7;40,9;0;392,6;393;391,1;3,6;3,4;3,7;0,142;0;0;0;0;0;0;0;0;0;0
01.01.2016, 20:20;2;9,2;0,1;103;33272605;1712796;48931;45177;7,4;45,7;7;41;0;392,8;393,1;391,1;1,7;1,7;1,1;0,09;0;0;0;0;0;0;0;0;0;0
01.01.2016, 20:30;2;9,5;0,1;104,1;33272605;1712796;48931;45177;7;45,9;7;41,9;0;392,9;393,2;391,4;1,7;1,7;1,4;0,083;0;0;0;0;0;0;0;0;0;0
01.01.2016, 20:40;2,1;9;0,1;106;33272605;1712796;48931;45177;7;46,1;7;42;0;392,7;393;391,4;1,7;1,8;1;0,111;0;0;0;0;0;0;0;0;0;0
01.01.2016, 20:50;2,1;10,3;0;88,3;33272605;1712796;48931;45177;7;46,5;7;42,5;0;393;393,3;391,6;1,7;1,5;1,2;0,04;146;0;0;0;0;0;0;0;0;0
01.01.2016, 21:00;2,1;10,5;0;86,4;33272605;1712796;48931;45177;7;46,6;7;42,6;0;393,1;393,4;391,7;1,7;1,5;1,3;0,033;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 21:10;2,1;10,5;0;86,4;33272605;1712796;48931;45177;7;46,6;7;42,6;0;393,1;393,4;391,7;1,7;1,5;1,3;0,033;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 21:20;2,1;10,5;0;86,4;33272605;1712796;48931;45177;7;46,6;7;42,6;0;393,1;393,4;391,7;1,7;1,5;1,3;0,033;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 21:30;2,1;10,5;0;86,4;33272605;1712796;48931;45177;7;46,6;7;42,6;0;393,1;393,4;391,7;1,7;1,5;1,3;0,033;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 21:40;2,1;10,5;0;86,4;33272605;1712796;48931;45177;7;46,6;7;42,6;0;393,1;393,4;391,7;1,7;1,5;1,3;0,033;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 21:50;2,1;10,5;0;86,4;33272605;1712796;48931;45177;7;46,6;7;42,6;0;393,1;393,4;391,7;1,7;1,5;1,3;0,033;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 22:00;3,6;10,2;93,7;98,7;33272605;1712805;48931;45177;8,8;50,4;6,4;44;0;394,2;394,3;392,4;72,6;73,8;74,9;0,69;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 22:10;4,7;10;156,3;107;33272605;1712851;48931;45177;10;53;6;45;0;395;395;393;120;122;124;0;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 22:20;4,7;10;156,3;107;33272605;1712851;48931;45177;10;53;6;45;0;395;395;393;120;122;124;0;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 22:30;4,7;10;156,3;107;33272605;1712851;48931;45177;10;53;6;45;0;395;395;393;120;122;124;0;1177;21;0;0;0;0;0;0;0;0
01.01.2016, 22:40;4,9;10;167,1;103,7;33272605;1712985;48931;45179;10,9;51,2;6;43,2;0;395;395,1;393,5;136;143,6;139,2;1,024;0;0;0;0;0;0;0;0;0;0
